1841, 6528799, 3222485, 3306314, 103
1851, 5111557, 2494478, 2617079, 105
1861, 4402111, 2169042, 2233069, 103
1871, 4053187, 1992468, 2060719, 103
1881, 3870020, 1912438, 1957582, 102
1891, 3468694, 1728601, 1740093, 101
1901, 3221823, 1610085, 1611738, 100
1911, 3139688, 1589509, 1550179, 98
1926, 2971992, 1506889, 1465103, 97
1936, 2968420, 1520454, 1447966, 95
1946, 2955107, 1494877, 1460230, 98
1951, 2960593, 1506597, 1453996, 97
1956, 2898264, 1462928, 1435336, 98
1961, 2818341, 1416549, 1401792, 99
1966, 2884002, 1449032, 1434970, 99
1971, 2978248, 1495760, 1482488, 99
1979, 3368217, 1693272, 1674945, 99
1981, 3443405, 1729354, 1714051, 99
1986, 3540643, 1769690, 1770953, 100
1991, 3525719, 1753418, 1772301, 101
1996, 3626087, 1800232, 1825855, 101
2002, 3917203, 1946164, 1971039, 101
2006, 4239848, 2121171, 2118677, 100
2011, 4588252, 2272699, 2315553, 102
